,estimator,min_score,mean_score,max_score,std_score,model__max_depth,model__max_leaf_nodes,model__min_samples_leaf,model__min_samples_split,model__n_estimators,model__gamma,model__learning_rate
146,AdaBoostClassifier,0.8,0.8800000000000001,0.9333333333333333,0.043969686527576386,,,,,80,,1
144,AdaBoostClassifier,0.8,0.8800000000000001,0.9333333333333333,0.043969686527576386,,,,,50,,1
145,AdaBoostClassifier,0.7833333333333333,0.8766666666666667,0.9333333333333333,0.0501109879279097,,,,,25,,1
19,RandomForestClassifier,0.8166666666666667,0.8700000000000001,0.9333333333333333,0.046427960923947076,,50,50,2,50,,
58,RandomForestClassifier,0.8166666666666667,0.8700000000000001,0.9333333333333333,0.046427960923947076,15,,50,50,50,,
46,RandomForestClassifier,0.8166666666666667,0.8700000000000001,0.9333333333333333,0.046427960923947076,4,50,50,50,50,,
43,RandomForestClassifier,0.8166666666666667,0.8700000000000001,0.9333333333333333,0.046427960923947076,4,50,50,2,50,,
67,RandomForestClassifier,0.8166666666666667,0.8700000000000001,0.9333333333333333,0.046427960923947076,15,50,50,2,50,,
70,RandomForestClassifier,0.8166666666666667,0.8700000000000001,0.9333333333333333,0.046427960923947076,15,50,50,50,50,,
22,RandomForestClassifier,0.8166666666666667,0.8700000000000001,0.9333333333333333,0.046427960923947076,,50,50,50,50,,
55,RandomForestClassifier,0.8166666666666667,0.8700000000000001,0.9333333333333333,0.046427960923947076,15,,50,2,50,,
10,RandomForestClassifier,0.8166666666666667,0.8700000000000001,0.9333333333333333,0.046427960923947076,,,50,50,50,,
7,RandomForestClassifier,0.8166666666666667,0.8700000000000001,0.9333333333333333,0.046427960923947076,,,50,2,50,,
11,RandomForestClassifier,0.8166666666666667,0.8666666666666668,0.9333333333333333,0.0447213595499958,,,50,50,140,,
99,XGBClassifier,0.7666666666666667,0.8666666666666668,0.9333333333333333,0.0547722557505166,3,,,,30,0,0.001
68,RandomForestClassifier,0.8166666666666667,0.8666666666666668,0.9333333333333333,0.0447213595499958,15,50,50,2,140,,
44,RandomForestClassifier,0.8166666666666667,0.8666666666666668,0.9333333333333333,0.0447213595499958,4,50,50,2,140,,
71,RandomForestClassifier,0.8166666666666667,0.8666666666666668,0.9333333333333333,0.0447213595499958,15,50,50,50,140,,
100,XGBClassifier,0.7666666666666667,0.8666666666666668,0.9333333333333333,0.0547722557505166,3,,,,80,0,0.001
35,RandomForestClassifier,0.8166666666666667,0.8666666666666668,0.9333333333333333,0.0447213595499958,4,,50,50,140,,
34,RandomForestClassifier,0.8166666666666667,0.8666666666666668,0.9333333333333333,0.0447213595499958,4,,50,50,50,,
124,XGBClassifier,0.7666666666666667,0.8666666666666668,0.9333333333333333,0.0547722557505166,3,,,,80,0.1,0.01
32,RandomForestClassifier,0.8166666666666667,0.8666666666666668,0.9333333333333333,0.0447213595499958,4,,50,2,140,,
