,estimator,min_score,mean_score,max_score,std_score,model__max_depth,model__max_leaf_nodes,model__min_samples_leaf,model__min_samples_split,model__n_estimators,model__gamma,model__learning_rate
48,RandomForestClassifier,0.6666666666666666,0.7655913978494624,0.8494623655913979,0.06572347006424142,15,,1,2,100,,
50,RandomForestClassifier,0.6559139784946236,0.7645161290322582,0.8548387096774194,0.07037878783635947,15,,1,2,140,,
0,RandomForestClassifier,0.6666666666666666,0.7634408602150538,0.8440860215053764,0.06352281930211583,,,1,2,100,,
49,RandomForestClassifier,0.6666666666666666,0.7634408602150538,0.8494623655913979,0.06671867551607988,15,,1,2,50,,
1,RandomForestClassifier,0.6666666666666666,0.7612903225806452,0.8387096774193549,0.06465933926181898,,,1,2,50,,
2,RandomForestClassifier,0.6559139784946236,0.7602150537634408,0.8494623655913979,0.0688172043010753,,,1,2,140,,
14,RandomForestClassifier,0.6774193548387096,0.753763440860215,0.8118279569892473,0.04777389223983453,,50,1,2,140,,
12,RandomForestClassifier,0.6666666666666666,0.7526881720430108,0.8064516129032258,0.052786828854337955,,50,1,2,100,,
60,RandomForestClassifier,0.6666666666666666,0.7526881720430106,0.8064516129032258,0.05190330488665449,15,50,1,2,100,,
62,RandomForestClassifier,0.6774193548387096,0.7505376344086022,0.8010752688172043,0.044412637479706196,15,50,1,2,140,,
13,RandomForestClassifier,0.6720430107526881,0.7473118279569892,0.7903225806451613,0.04394154138000548,,50,1,2,50,,
61,RandomForestClassifier,0.6720430107526881,0.7473118279569892,0.7903225806451613,0.04394154138000548,15,50,1,2,50,,
108,XGBClassifier,0.7150537634408602,0.7376344086021506,0.7903225806451613,0.028932524832416557,,,,,30,0.1,0.1
72,XGBClassifier,0.6989247311827957,0.735483870967742,0.7903225806451613,0.0316063192617184,,,,,30,0,0.1
109,XGBClassifier,0.7150537634408602,0.7344086021505376,0.7741935483870968,0.023211863596691272,,,,,80,0.1,0.1
110,XGBClassifier,0.7043010752688172,0.7333333333333334,0.7741935483870968,0.02466095686275205,,,,,200,0.1,0.1
122,XGBClassifier,0.6935483870967742,0.7301075268817204,0.7795698924731183,0.030107526881720404,,,,,200,0.1,0.01
86,XGBClassifier,0.6935483870967742,0.7301075268817204,0.7795698924731183,0.02913164985837431,,,,,200,0,0.01
114,XGBClassifier,0.6774193548387096,0.7290322580645162,0.7849462365591398,0.03795561848327481,10,,,,30,0.1,0.1
117,XGBClassifier,0.6774193548387096,0.7290322580645162,0.7741935483870968,0.03410484199387894,15,,,,30,0.1,0.1
80,XGBClassifier,0.6666666666666666,0.729032258064516,0.7795698924731183,0.03624150440075854,10,,,,200,0,0.1
82,XGBClassifier,0.6720430107526881,0.727956989247312,0.7903225806451613,0.03795561848327482,15,,,,80,0,0.1
79,XGBClassifier,0.6720430107526881,0.7268817204301076,0.7795698924731183,0.034408602150537634,10,,,,80,0,0.1
128,XGBClassifier,0.6774193548387096,0.7268817204301076,0.7741935483870968,0.03490899587257618,10,,,,200,0.1,0.01
83,XGBClassifier,0.6666666666666666,0.7268817204301076,0.7849462365591398,0.03777240445215117,15,,,,200,0,0.1
76,XGBClassifier,0.7043010752688172,0.7268817204301075,0.7634408602150538,0.020231062066910496,3,,,,80,0,0.1
113,XGBClassifier,0.7043010752688172,0.7258064516129034,0.7634408602150538,0.02096084805335259,3,,,,200,0.1,0.1
112,XGBClassifier,0.7043010752688172,0.7258064516129032,0.7634408602150538,0.020683208668463793,3,,,,80,0.1,0.1
115,XGBClassifier,0.6666666666666666,0.7258064516129032,0.7849462365591398,0.03786412228313765,10,,,,80,0.1,0.1
116,XGBClassifier,0.6666666666666666,0.7258064516129032,0.7849462365591398,0.03786412228313765,10,,,,200,0.1,0.1
131,XGBClassifier,0.6774193548387096,0.724731182795699,0.7634408602150538,0.032150357823066786,15,,,,200,0.1,0.01
77,XGBClassifier,0.6612903225806451,0.724731182795699,0.7634408602150538,0.034240179200194974,3,,,,200,0,0.1
118,XGBClassifier,0.6666666666666666,0.7236559139784946,0.7741935483870968,0.03460962782673351,15,,,,80,0.1,0.1
119,XGBClassifier,0.6666666666666666,0.7236559139784946,0.7741935483870968,0.03460962782673351,15,,,,200,0.1,0.1
74,XGBClassifier,0.6720430107526881,0.7225806451612904,0.7634408602150538,0.029759897856124845,,,,,200,0,0.1
121,XGBClassifier,0.6881720430107527,0.7225806451612904,0.7473118279569892,0.023459595945453132,,,,,80,0.1,0.01
95,XGBClassifier,0.6774193548387096,0.7225806451612904,0.7741935483870968,0.0314596534157587,15,,,,200,0,0.01
81,XGBClassifier,0.6666666666666666,0.721505376344086,0.7795698924731183,0.03620958761394137,15,,,,30,0,0.1
78,XGBClassifier,0.6666666666666666,0.721505376344086,0.7795698924731183,0.03620958761394137,10,,,,30,0,0.1
85,XGBClassifier,0.6774193548387096,0.7204301075268817,0.7473118279569892,0.026773977630083306,,,,,80,0,0.01
92,XGBClassifier,0.6774193548387096,0.7193548387096774,0.7634408602150538,0.028121928668004354,10,,,,200,0,0.01
73,XGBClassifier,0.6612903225806451,0.7182795698924732,0.7634408602150538,0.03307216451447248,,,,,80,0,0.1
93,XGBClassifier,0.6774193548387096,0.7161290322580646,0.7634408602150538,0.02932942300427066,15,,,,30,0,0.01
104,XGBClassifier,0.6774193548387096,0.7161290322580645,0.7741935483870968,0.03390082316222462,10,,,,200,0,0.001
90,XGBClassifier,0.6774193548387096,0.7161290322580645,0.7741935483870968,0.03390082316222462,10,,,,30,0,0.01
91,XGBClassifier,0.6720430107526881,0.7150537634408602,0.7741935483870968,0.03517296179310994,10,,,,80,0,0.01
94,XGBClassifier,0.6774193548387096,0.7150537634408602,0.7634408602150538,0.030030623750040734,15,,,,80,0,0.01
126,XGBClassifier,0.6774193548387096,0.7150537634408602,0.7688172043010753,0.03022251467216171,10,,,,30,0.1,0.01
129,XGBClassifier,0.6774193548387096,0.713978494623656,0.7580645161290323,0.026206575498825685,15,,,,30,0.1,0.01
107,XGBClassifier,0.6774193548387096,0.713978494623656,0.7634408602150538,0.030866021708402844,15,,,,200,0,0.001
102,XGBClassifier,0.6774193548387096,0.7129032258064516,0.7741935483870968,0.03510715638132153,10,,,,30,0,0.001
111,XGBClassifier,0.6881720430107527,0.7129032258064516,0.7311827956989247,0.01543301085420141,3,,,,30,0.1,0.1
127,XGBClassifier,0.6774193548387096,0.7129032258064516,0.7580645161290323,0.02857060270018586,10,,,,80,0.1,0.01
103,XGBClassifier,0.6774193548387096,0.7129032258064516,0.7741935483870968,0.03510715638132153,10,,,,80,0,0.001
75,XGBClassifier,0.6881720430107527,0.7129032258064516,0.7311827956989247,0.01543301085420141,3,,,,30,0,0.1
140,XGBClassifier,0.6774193548387096,0.7129032258064516,0.7688172043010753,0.03127535391881502,10,,,,200,0.1,0.001
130,XGBClassifier,0.6774193548387096,0.7118279569892474,0.7473118279569892,0.025125422463543927,15,,,,80,0.1,0.01
105,XGBClassifier,0.6774193548387096,0.7118279569892474,0.7634408602150538,0.031275353918815044,15,,,,30,0,0.001
106,XGBClassifier,0.6774193548387096,0.7118279569892474,0.7634408602150538,0.031275353918815044,15,,,,80,0,0.001
38,RandomForestClassifier,0.6559139784946236,0.7118279569892474,0.7473118279569892,0.03444218790977843,4,50,1,2,140,,
143,XGBClassifier,0.6774193548387096,0.7107526881720432,0.7580645161290323,0.028121928668004344,15,,,,200,0.1,0.001
